user1: total_duration=7235ms, total_cost=42.50
user10: total_duration=17877ms, total_cost=113.49
user100: total_duration=15811ms, total_cost=101.03
user1000: total_duration=14863ms, total_cost=90.25
user101: total_duration=12589ms, total_cost=56.18
user102: total_duration=10104ms, total_cost=73.08
user103: total_duration=15306ms, total_cost=91.11
user104: total_duration=9621ms, total_cost=63.14
user105: total_duration=14963ms, total_cost=83.12
user106: total_duration=26358ms, total_cost=200.18
user107: total_duration=9709ms, total_cost=70.46
user108: total_duration=9576ms, total_cost=66.56
user109: total_duration=12722ms, total_cost=91.69
user11: total_duration=10569ms, total_cost=56.92
user110: total_duration=16507ms, total_cost=83.07
user111: total_duration=10473ms, total_cost=77.04
user112: total_duration=6262ms, total_cost=46.41
user113: total_duration=9301ms, total_cost=52.53
user114: total_duration=4121ms, total_cost=25.00
user115: total_duration=12563ms, total_cost=56.93
user116: total_duration=9555ms, total_cost=72.01
user117: total_duration=11035ms, total_cost=62.04
user118: total_duration=10959ms, total_cost=56.66
user119: total_duration=14442ms, total_cost=89.72
user12: total_duration=11384ms, total_cost=73.60
user120: total_duration=8224ms, total_cost=56.35
user121: total_duration=4390ms, total_cost=30.58
user122: total_duration=10336ms, total_cost=61.85
user123: total_duration=14667ms, total_cost=93.23
user124: total_duration=12364ms, total_cost=72.57
user125: total_duration=14190ms, total_cost=69.87
user126: total_duration=11055ms, total_cost=88.52
user127: total_duration=11813ms, total_cost=73.59
user128: total_duration=5875ms, total_cost=44.20
user129: total_duration=8164ms, total_cost=52.32
user13: total_duration=9191ms, total_cost=51.98
user130: total_duration=16973ms, total_cost=98.32
user131: total_duration=10594ms, total_cost=55.93
user132: total_duration=10771ms, total_cost=91.12
user133: total_duration=15771ms, total_cost=100.10
user134: total_duration=13401ms, total_cost=71.84
user135: total_duration=10397ms, total_cost=69.41
user136: total_duration=9546ms, total_cost=59.60
user137: total_duration=9226ms, total_cost=64.86
user138: total_duration=6564ms, total_cost=37.80
user139: total_duration=13065ms, total_cost=105.55
user14: total_duration=5593ms, total_cost=20.11
user140: total_duration=14091ms, total_cost=89.39
user141: total_duration=13177ms, total_cost=83.60
user142: total_duration=13703ms, total_cost=105.91
user143: total_duration=14684ms, total_cost=105.58
user144: total_duration=8576ms, total_cost=40.08
user145: total_duration=15908ms, total_cost=98.70
user146: total_duration=12005ms, total_cost=73.77
user147: total_duration=7200ms, total_cost=60.81
user148: total_duration=14367ms, total_cost=83.96
user149: total_duration=10309ms, total_cost=50.51
user15: total_duration=11100ms, total_cost=60.79
user150: total_duration=3595ms, total_cost=22.04
user151: total_duration=7973ms, total_cost=50.56
user152: total_duration=8459ms, total_cost=56.35
user153: total_duration=13603ms, total_cost=88.99
user154: total_duration=8708ms, total_cost=53.24
user155: total_duration=8043ms, total_cost=36.55
user156: total_duration=6812ms, total_cost=28.37
user157: total_duration=15940ms, total_cost=79.53
user158: total_duration=13839ms, total_cost=84.04
user159: total_duration=16311ms, total_cost=85.25
user16: total_duration=8226ms, total_cost=54.82
user160: total_duration=4939ms, total_cost=45.66
user161: total_duration=4984ms, total_cost=34.34
user162: total_duration=7440ms, total_cost=42.42
user163: total_duration=15493ms, total_cost=100.54
user164: total_duration=7997ms, total_cost=56.26
user165: total_duration=13645ms, total_cost=91.04
user166: total_duration=10377ms, total_cost=71.44
user167: total_duration=9825ms, total_cost=72.03
user168: total_duration=5435ms, total_cost=37.10
user169: total_duration=12444ms, total_cost=103.44
user17: total_duration=18849ms, total_cost=96.19
user170: total_duration=8231ms, total_cost=70.51
user171: total_duration=11977ms, total_cost=90.92
user172: total_duration=12876ms, total_cost=72.70
user173: total_duration=6400ms, total_cost=39.71
user174: total_duration=14011ms, total_cost=79.20
user175: total_duration=14285ms, total_cost=89.32
user176: total_duration=5367ms, total_cost=39.56
user177: total_duration=10437ms, total_cost=72.86
user178: total_duration=11247ms, total_cost=49.15
user179: total_duration=7829ms, total_cost=46.13
user18: total_duration=15573ms, total_cost=94.40
user180: total_duration=14971ms, total_cost=101.15
user181: total_duration=9332ms, total_cost=56.58
user182: total_duration=15266ms, total_cost=93.44
user183: total_duration=11405ms, total_cost=79.77
user184: total_duration=10904ms, total_cost=79.74
user185: total_duration=17368ms, total_cost=102.33
user186: total_duration=17279ms, total_cost=123.34
user187: total_duration=12287ms, total_cost=89.81
user188: total_duration=9608ms, total_cost=73.57
user189: total_duration=9225ms, total_cost=70.90
user19: total_duration=8977ms, total_cost=83.92
user190: total_duration=9442ms, total_cost=63.17
user191: total_duration=5732ms, total_cost=49.93
user192: total_duration=12216ms, total_cost=64.89
user193: total_duration=8802ms, total_cost=40.50
user194: total_duration=3544ms, total_cost=22.46
user195: total_duration=6399ms, total_cost=38.87
user196: total_duration=5857ms, total_cost=46.58
user197: total_duration=8633ms, total_cost=43.41
user198: total_duration=13495ms, total_cost=91.19
user199: total_duration=13000ms, total_cost=81.32
user2: total_duration=14538ms, total_cost=97.67
user20: total_duration=11590ms, total_cost=84.44
user200: total_duration=5947ms, total_cost=29.66
user201: total_duration=10374ms, total_cost=63.32
user202: total_duration=7451ms, total_cost=68.02
user203: total_duration=7123ms, total_cost=42.47
user204: total_duration=19569ms, total_cost=108.31
user205: total_duration=9411ms, total_cost=48.87
user206: total_duration=11408ms, total_cost=70.44
user207: total_duration=14131ms, total_cost=99.32
user208: total_duration=14456ms, total_cost=79.08
user209: total_duration=12633ms, total_cost=87.43
user21: total_duration=8912ms, total_cost=62.30
user210: total_duration=13907ms, total_cost=92.86
user211: total_duration=9035ms, total_cost=71.71
user212: total_duration=7787ms, total_cost=43.25
user213: total_duration=4469ms, total_cost=24.23
user214: total_duration=6714ms, total_cost=44.48
user215: total_duration=10638ms, total_cost=74.67
user216: total_duration=17691ms, total_cost=101.19
user217: total_duration=12424ms, total_cost=63.60
user218: total_duration=7059ms, total_cost=41.92
user219: total_duration=5729ms, total_cost=34.74
user22: total_duration=12199ms, total_cost=82.77
user220: total_duration=11904ms, total_cost=72.83
user221: total_duration=13433ms, total_cost=95.34
user222: total_duration=9533ms, total_cost=72.53
user223: total_duration=4312ms, total_cost=25.42
user224: total_duration=19310ms, total_cost=101.56
user225: total_duration=8308ms, total_cost=51.62
user226: total_duration=13006ms, total_cost=72.22
user227: total_duration=10652ms, total_cost=60.33
user228: total_duration=15177ms, total_cost=96.56
user229: total_duration=4345ms, total_cost=30.13
user23: total_duration=9664ms, total_cost=69.70
user230: total_duration=12643ms, total_cost=81.96
user231: total_duration=6233ms, total_cost=41.85
user232: total_duration=17853ms, total_cost=110.22
user233: total_duration=7443ms, total_cost=34.16
user234: total_duration=7266ms, total_cost=37.11
user235: total_duration=10364ms, total_cost=62.30
user236: total_duration=6574ms, total_cost=34.65
user237: total_duration=15531ms, total_cost=97.21
user238: total_duration=8734ms, total_cost=55.95
user239: total_duration=11764ms, total_cost=72.37
user24: total_duration=16447ms, total_cost=109.78
user240: total_duration=6831ms, total_cost=51.63
user241: total_duration=13104ms, total_cost=110.01
user242: total_duration=6966ms, total_cost=57.31
user243: total_duration=6511ms, total_cost=44.69
user244: total_duration=11387ms, total_cost=85.69
user245: total_duration=5601ms, total_cost=25.46
user246: total_duration=9288ms, total_cost=70.79
user247: total_duration=9032ms, total_cost=50.08
user248: total_duration=12654ms, total_cost=81.12
user249: total_duration=15403ms, total_cost=107.00
user25: total_duration=10161ms, total_cost=61.09
user250: total_duration=9365ms, total_cost=54.16
user251: total_duration=13417ms, total_cost=92.83
user252: total_duration=7764ms, total_cost=45.15
user253: total_duration=9568ms, total_cost=65.80
user254: total_duration=16695ms, total_cost=90.92
user255: total_duration=10298ms, total_cost=57.11
user256: total_duration=11018ms, total_cost=69.16
user257: total_duration=5663ms, total_cost=31.51
user258: total_duration=13305ms, total_cost=83.08
user259: total_duration=5182ms, total_cost=32.37
user26: total_duration=20095ms, total_cost=142.88
user260: total_duration=12671ms, total_cost=110.12
user261: total_duration=10324ms, total_cost=74.19
user262: total_duration=16007ms, total_cost=118.55
user263: total_duration=5665ms, total_cost=38.39
user264: total_duration=6513ms, total_cost=47.19
user265: total_duration=14197ms, total_cost=64.09
user266: total_duration=14617ms, total_cost=87.92
user267: total_duration=11224ms, total_cost=73.52
user268: total_duration=15482ms, total_cost=105.05
user269: total_duration=11106ms, total_cost=76.47
user27: total_duration=17782ms, total_cost=116.96
user270: total_duration=9139ms, total_cost=58.77
user271: total_duration=5276ms, total_cost=37.04
user272: total_duration=12287ms, total_cost=84.34
user273: total_duration=9929ms, total_cost=69.34
user274: total_duration=12480ms, total_cost=83.93
user275: total_duration=12479ms, total_cost=66.73
user276: total_duration=8868ms, total_cost=48.65
user277: total_duration=9992ms, total_cost=62.69
user278: total_duration=14752ms, total_cost=94.24
user279: total_duration=3504ms, total_cost=22.88
user28: total_duration=8777ms, total_cost=61.82
user280: total_duration=7658ms, total_cost=56.04
user281: total_duration=6405ms, total_cost=22.12
user282: total_duration=5924ms, total_cost=38.96
user283: total_duration=12787ms, total_cost=82.87
user284: total_duration=10924ms, total_cost=73.10
user285: total_duration=14520ms, total_cost=75.93
user286: total_duration=14178ms, total_cost=100.31
user287: total_duration=6280ms, total_cost=23.64
user288: total_duration=14255ms, total_cost=105.79
user289: total_duration=8918ms, total_cost=77.40
user29: total_duration=11989ms, total_cost=75.75
user290: total_duration=17699ms, total_cost=113.85
user291: total_duration=7962ms, total_cost=65.58
user292: total_duration=6127ms, total_cost=41.87
user293: total_duration=5930ms, total_cost=43.87
user294: total_duration=3997ms, total_cost=25.57
user295: total_duration=12575ms, total_cost=75.54
user296: total_duration=10134ms, total_cost=51.17
user297: total_duration=10200ms, total_cost=63.13
user298: total_duration=7130ms, total_cost=36.83
user299: total_duration=6660ms, total_cost=38.31
user3: total_duration=11260ms, total_cost=52.12
user30: total_duration=12881ms, total_cost=83.13
user300: total_duration=7244ms, total_cost=53.63
user301: total_duration=9650ms, total_cost=48.05
user302: total_duration=8854ms, total_cost=62.01
user303: total_duration=11289ms, total_cost=70.35
user304: total_duration=7615ms, total_cost=56.91
user305: total_duration=14494ms, total_cost=72.32
user306: total_duration=12797ms, total_cost=97.52
user307: total_duration=16931ms, total_cost=105.97
user308: total_duration=23290ms, total_cost=147.75
user309: total_duration=15822ms, total_cost=108.44
user31: total_duration=9526ms, total_cost=53.37
user310: total_duration=11317ms, total_cost=76.90
user311: total_duration=10307ms, total_cost=61.82
user312: total_duration=7542ms, total_cost=52.66
user313: total_duration=11503ms, total_cost=82.79
user314: total_duration=9138ms, total_cost=55.18
user315: total_duration=11032ms, total_cost=70.78
user316: total_duration=7747ms, total_cost=47.65
user317: total_duration=2599ms, total_cost=11.96
user318: total_duration=8308ms, total_cost=56.22
user319: total_duration=12576ms, total_cost=75.61
user32: total_duration=6453ms, total_cost=35.77
user320: total_duration=8399ms, total_cost=50.57
user321: total_duration=9124ms, total_cost=48.14
user322: total_duration=13021ms, total_cost=83.77
user323: total_duration=10807ms, total_cost=56.05
user324: total_duration=11420ms, total_cost=49.05
user325: total_duration=7230ms, total_cost=50.52
user326: total_duration=11549ms, total_cost=72.45
user327: total_duration=9213ms, total_cost=53.80
user328: total_duration=11965ms, total_cost=86.88
user329: total_duration=10296ms, total_cost=74.88
user33: total_duration=9465ms, total_cost=67.35
user330: total_duration=14840ms, total_cost=91.59
user331: total_duration=15561ms, total_cost=109.50
user332: total_duration=2939ms, total_cost=11.95
user333: total_duration=12375ms, total_cost=77.57
user334: total_duration=7696ms, total_cost=47.99
user335: total_duration=5662ms, total_cost=49.64
user336: total_duration=12447ms, total_cost=83.81
user337: total_duration=11656ms, total_cost=71.84
user338: total_duration=11271ms, total_cost=82.70
user339: total_duration=15684ms, total_cost=117.65
user34: total_duration=9372ms, total_cost=57.22
user340: total_duration=9690ms, total_cost=73.91
user341: total_duration=9890ms, total_cost=59.97
user342: total_duration=11231ms, total_cost=73.65
user343: total_duration=8473ms, total_cost=59.08
user344: total_duration=11555ms, total_cost=80.19
user345: total_duration=7715ms, total_cost=56.73
user346: total_duration=9368ms, total_cost=55.79
user347: total_duration=14731ms, total_cost=75.94
user348: total_duration=15470ms, total_cost=77.27
user349: total_duration=12282ms, total_cost=69.03
user35: total_duration=6829ms, total_cost=50.89
user350: total_duration=7771ms, total_cost=62.52
user351: total_duration=10205ms, total_cost=71.99
user352: total_duration=8119ms, total_cost=45.79
user353: total_duration=7031ms, total_cost=32.64
user354: total_duration=7577ms, total_cost=40.99
user355: total_duration=12502ms, total_cost=89.05
user356: total_duration=14601ms, total_cost=94.35
user357: total_duration=15215ms, total_cost=111.57
user358: total_duration=12364ms, total_cost=57.71
user359: total_duration=5193ms, total_cost=38.83
user36: total_duration=6823ms, total_cost=42.01
user360: total_duration=11276ms, total_cost=57.35
user361: total_duration=4004ms, total_cost=21.32
user362: total_duration=13081ms, total_cost=63.25
user363: total_duration=12625ms, total_cost=70.51
user364: total_duration=8139ms, total_cost=63.11
user365: total_duration=12129ms, total_cost=63.52
user366: total_duration=8181ms, total_cost=52.47
user367: total_duration=9543ms, total_cost=57.56
user368: total_duration=13088ms, total_cost=81.31
user369: total_duration=9117ms, total_cost=52.98
user37: total_duration=7857ms, total_cost=45.81
user370: total_duration=13283ms, total_cost=83.94
user371: total_duration=7953ms, total_cost=45.25
user372: total_duration=7994ms, total_cost=48.49
user373: total_duration=12754ms, total_cost=96.87
user374: total_duration=9052ms, total_cost=59.64
user375: total_duration=4961ms, total_cost=33.21
user376: total_duration=12988ms, total_cost=93.85
user377: total_duration=7578ms, total_cost=48.97
user378: total_duration=9264ms, total_cost=39.97
user379: total_duration=15473ms, total_cost=113.10
user38: total_duration=18426ms, total_cost=145.05
user380: total_duration=8289ms, total_cost=65.34
user381: total_duration=8772ms, total_cost=70.68
user382: total_duration=13480ms, total_cost=64.24
user383: total_duration=13381ms, total_cost=77.96
user384: total_duration=17846ms, total_cost=110.00
user385: total_duration=14856ms, total_cost=114.77
user386: total_duration=4734ms, total_cost=33.51
user387: total_duration=11461ms, total_cost=64.00
user388: total_duration=8357ms, total_cost=62.48
user389: total_duration=8714ms, total_cost=60.15
user39: total_duration=15103ms, total_cost=84.67
user390: total_duration=4652ms, total_cost=34.69
user391: total_duration=14393ms, total_cost=85.94
user392: total_duration=10010ms, total_cost=52.55
user393: total_duration=7162ms, total_cost=42.55
user394: total_duration=5402ms, total_cost=39.15
user395: total_duration=9682ms, total_cost=75.29
user396: total_duration=9214ms, total_cost=47.48
user397: total_duration=7860ms, total_cost=37.73
user398: total_duration=14287ms, total_cost=83.76
user399: total_duration=17305ms, total_cost=95.18
user4: total_duration=7911ms, total_cost=49.36
user40: total_duration=9877ms, total_cost=61.69
user400: total_duration=2338ms, total_cost=15.18
user401: total_duration=9258ms, total_cost=66.46
user402: total_duration=7491ms, total_cost=35.34
user403: total_duration=13406ms, total_cost=100.90
user404: total_duration=7804ms, total_cost=45.27
user405: total_duration=7073ms, total_cost=34.27
user406: total_duration=17660ms, total_cost=101.50
user407: total_duration=6277ms, total_cost=37.56
user408: total_duration=13054ms, total_cost=76.45
user409: total_duration=11883ms, total_cost=73.35
user41: total_duration=8093ms, total_cost=58.19
user410: total_duration=10769ms, total_cost=78.90
user411: total_duration=6243ms, total_cost=32.28
user412: total_duration=9663ms, total_cost=56.87
user413: total_duration=12153ms, total_cost=66.74
user414: total_duration=12417ms, total_cost=85.09
user415: total_duration=6499ms, total_cost=47.94
user416: total_duration=7994ms, total_cost=51.51
user417: total_duration=10039ms, total_cost=61.52
user418: total_duration=5879ms, total_cost=46.09
user419: total_duration=17741ms, total_cost=131.74
user42: total_duration=6202ms, total_cost=41.39
user420: total_duration=13719ms, total_cost=77.45
user421: total_duration=17087ms, total_cost=106.87
user422: total_duration=8683ms, total_cost=53.50
user423: total_duration=5575ms, total_cost=23.15
user424: total_duration=13011ms, total_cost=94.02
user425: total_duration=8352ms, total_cost=57.13
user426: total_duration=6982ms, total_cost=43.98
user427: total_duration=7081ms, total_cost=51.64
user428: total_duration=10911ms, total_cost=68.31
user429: total_duration=20062ms, total_cost=112.82
user43: total_duration=8253ms, total_cost=45.99
user430: total_duration=14636ms, total_cost=90.41
user431: total_duration=9138ms, total_cost=67.50
user432: total_duration=18804ms, total_cost=143.90
user433: total_duration=14072ms, total_cost=101.56
user434: total_duration=7822ms, total_cost=49.58
user435: total_duration=14382ms, total_cost=99.37
user436: total_duration=4057ms, total_cost=25.09
user437: total_duration=9504ms, total_cost=64.56
user438: total_duration=10367ms, total_cost=55.30
user439: total_duration=11983ms, total_cost=76.91
user44: total_duration=9351ms, total_cost=58.14
user440: total_duration=5508ms, total_cost=34.40
user441: total_duration=13059ms, total_cost=81.63
user442: total_duration=13314ms, total_cost=82.42
user443: total_duration=13474ms, total_cost=66.48
user444: total_duration=12447ms, total_cost=88.39
user445: total_duration=14477ms, total_cost=111.73
user446: total_duration=11178ms, total_cost=65.74
user447: total_duration=4384ms, total_cost=28.63
user448: total_duration=14232ms, total_cost=97.58
user449: total_duration=7194ms, total_cost=45.23
user45: total_duration=13403ms, total_cost=89.74
user450: total_duration=6056ms, total_cost=40.18
user451: total_duration=8643ms, total_cost=48.23
user452: total_duration=16003ms, total_cost=118.27
user453: total_duration=8796ms, total_cost=53.25
user454: total_duration=6896ms, total_cost=54.01
user455: total_duration=9482ms, total_cost=53.26
user456: total_duration=12202ms, total_cost=76.59
user457: total_duration=5924ms, total_cost=20.54
user458: total_duration=17445ms, total_cost=82.80
user459: total_duration=11713ms, total_cost=76.73
user46: total_duration=11477ms, total_cost=86.28
user460: total_duration=13416ms, total_cost=75.00
user461: total_duration=15382ms, total_cost=100.06
user462: total_duration=8186ms, total_cost=59.56
user463: total_duration=12766ms, total_cost=78.48
user464: total_duration=7976ms, total_cost=40.08
user465: total_duration=14950ms, total_cost=107.80
user466: total_duration=14889ms, total_cost=92.73
user467: total_duration=6175ms, total_cost=44.82
user468: total_duration=8167ms, total_cost=58.55
user469: total_duration=18671ms, total_cost=139.22
user47: total_duration=18332ms, total_cost=79.72
user470: total_duration=13597ms, total_cost=72.00
user471: total_duration=9415ms, total_cost=71.20
user472: total_duration=12415ms, total_cost=91.60
user473: total_duration=6685ms, total_cost=49.91
user474: total_duration=13525ms, total_cost=90.04
user475: total_duration=15077ms, total_cost=98.66
user476: total_duration=8571ms, total_cost=44.17
user477: total_duration=7681ms, total_cost=46.03
user478: total_duration=9472ms, total_cost=45.96
user479: total_duration=8835ms, total_cost=46.26
user48: total_duration=4644ms, total_cost=24.20
user480: total_duration=10572ms, total_cost=54.38
user481: total_duration=9938ms, total_cost=59.89
user482: total_duration=15191ms, total_cost=98.85
user483: total_duration=9348ms, total_cost=62.20
user484: total_duration=5325ms, total_cost=30.23
user485: total_duration=15436ms, total_cost=92.69
user486: total_duration=15054ms, total_cost=85.84
user487: total_duration=11499ms, total_cost=67.25
user488: total_duration=7648ms, total_cost=56.08
user489: total_duration=7533ms, total_cost=65.34
user49: total_duration=7744ms, total_cost=47.21
user490: total_duration=11165ms, total_cost=55.45
user491: total_duration=7516ms, total_cost=39.27
user492: total_duration=11862ms, total_cost=79.62
user493: total_duration=9951ms, total_cost=74.93
user494: total_duration=9050ms, total_cost=38.74
user495: total_duration=8888ms, total_cost=52.20
user496: total_duration=6656ms, total_cost=49.28
user497: total_duration=12817ms, total_cost=92.20
user498: total_duration=7538ms, total_cost=39.69
user499: total_duration=6670ms, total_cost=36.71
user5: total_duration=14487ms, total_cost=95.51
user50: total_duration=6854ms, total_cost=43.98
user500: total_duration=8061ms, total_cost=53.79
user501: total_duration=17707ms, total_cost=115.18
user502: total_duration=9044ms, total_cost=59.27
user503: total_duration=16173ms, total_cost=101.46
user504: total_duration=10831ms, total_cost=77.14
user505: total_duration=3242ms, total_cost=16.97
user506: total_duration=3985ms, total_cost=20.02
user507: total_duration=9483ms, total_cost=44.69
user508: total_duration=8479ms, total_cost=37.77
user509: total_duration=18740ms, total_cost=120.58
user51: total_duration=8931ms, total_cost=60.25
user510: total_duration=13532ms, total_cost=52.54
user511: total_duration=9755ms, total_cost=55.91
user512: total_duration=10111ms, total_cost=78.87
user513: total_duration=12385ms, total_cost=86.42
user514: total_duration=10945ms, total_cost=88.26
user515: total_duration=14699ms, total_cost=110.21
user516: total_duration=10361ms, total_cost=73.10
user517: total_duration=4522ms, total_cost=34.03
user518: total_duration=8667ms, total_cost=56.71
user519: total_duration=10005ms, total_cost=72.23
user52: total_duration=15098ms, total_cost=99.22
user520: total_duration=17023ms, total_cost=113.02
user521: total_duration=6833ms, total_cost=58.48
user522: total_duration=15421ms, total_cost=105.97
user523: total_duration=2217ms, total_cost=16.26
user524: total_duration=12993ms, total_cost=69.78
user525: total_duration=7082ms, total_cost=39.09
user526: total_duration=6458ms, total_cost=41.90
user527: total_duration=7101ms, total_cost=43.47
user528: total_duration=16688ms, total_cost=133.03
user529: total_duration=17150ms, total_cost=121.37
user53: total_duration=10312ms, total_cost=52.48
user530: total_duration=12820ms, total_cost=99.89
